name,boronum
ANNADALE,5
ARDEN HEIGHTS,5
ARLINGTON,5
ARROCHAR,5
ARVERNE,4
ASTORIA,4
ASTORIA HEIGHTS,4
AUBURNDALE,4
BATH BEACH,3
BATTERY PARK CITY,1
BAY RIDGE,3
BAY TERRACE,4
BAYCHESTER,2
BAYSIDE,4
BEDFORD PARK,2
BEDFORD STUYVESANT,3
BEECHHURST,4
BELLAIRE,4
BELLE HARBOR,4
BELLEROSE,4
BELMONT,2
BENSONHURST,3
BERGEN BEACH,3
BLISSVILLE,4
BLOOMFIELD,5
BOERUM HILL,3
BOROUGH PARK,3
BREEZY POINT,4
BRIARWOOD,4
BRIGHTON BEACH,3
BROAD CHANNEL,4
BROADWAY JUNCTION,3
BRONX,2
BROOKLYN,3
BROOKLYN HEIGHTS,3
BROOKVILLE,4
BROWNSVILLE,3
BULLS HEAD,5
BUSHWICK,3
BUTLER MANOR,5
CAMBRIA HEIGHTS,4
CANARSIE,3
CARNEGIE HILL,1
CARROLL GARDENS,3
CASTLE HILL,2
CASTLETON CORNERS,5
CENTRAL HARLEM,1
CHARLESTON,5
CHELSEA,1
CHINATOWN,1
CITY ISLAND,2
CITY LINE,3
CIVIC CENTER,1
CLAREMONT VILLAGE,2
CLASON POINT,2
CLIFTON,5
CLINTON,1
CLINTON HILL,3
COOP CITY,2
COBBLE HILL,3
COLLEGE POINT,4
CONCORD,5
CONCOURSE,2
CONCOURSE VILLAGE,2
CONEY ISLAND,3
COUNTRY CLUB,2
CROWN HEIGHTS,3
CYPRESS HILLS,3
DITMAS PARK,3
DONGAN HILLS,5
DOUGLASTON,4
DOWNTOWN,3
DOWNTOWN FLUSHING,4
DUMBO,3
DYKER HEIGHTS,3
EAST ELMHURST,4
EAST FLATBUSH,3
EAST HARLEM,1
EAST NEW YORK,3
EAST TREMONT,2
EAST VILLAGE,1
EAST WILLIAMSBURG,3
EASTCHESTER,2
EDENWALD,2
EDGEMERE,4
EDGEWATER PARK,2
EGBERTVILLE,5
ELM PARK,5
ELMHURST,4
ELTINGVILLE,5
EMERSON HILL,5
FAR ROCKAWAY,4
FIELDSTON,2
FINANCIAL DISTRICT,1
FLATBUSH,3
FLATIRON,1
FLATLANDS,3
FLORAL PARK,4
FORDHAM,2
FOREST HILLS,4
FOREST HILLS GARDENS,4
FORT GREENE,3
FORT HAMILTON,3
FRESH MEADOWS,4
FULTON FERRY,3
GEORGETOWN,3
GERRITSEN BEACH,3
GLEN OAKS,4
GLENDALE,4
GOWANUS,3
GRAMERCY,1
GRANITEVILLE,5
GRANT CITY,5
GRASMERE,5
GRAVESEND,3
GREAT KILLS,5
GREENPOINT,3
GREENRIDGE,5
GREENWICH VILLAGE,1
GRYMES HILL,5
HAMILTON HEIGHTS,1
HEARTLAND VILLAGE,5
HIGH  BRIDGE,2
HIGHLAND PARK,3
HILLCREST,4
HOLLIS,4
HOLLISWOOD,4
HOMECREST,3
HOWARD BEACH,4
HOWLAND HOOK,5
HUGUENOT,5
HUNTERS POINT,4
HUNTS POINT,2
INWOOD,1
JACKSON HEIGHTS,4
JAMAICA CENTER,4
JAMAICA ESTATES,4
JAMAICA HILLS,4
KENSINGTON,3
KEW GARDENS,4
KEW GARDENS HILLS,4
KINGS,3
KINGS COUNTY,3
KINGSBRIDGE,2
LAURELTON,4
LEFRAK CITY,4
LENOX HILL,1
LIGHTHOUSE HILL,5
LINCOLN SQUARE,1
LINDENWOOD,4
LITTLE ITALY,1
LITTLE NECK,4
LONG ISLAND CITY,4
LONGWOOD,2
LOWER EAST SIDE,1
MADISON,3
MALBA,4
MANHATTAN,1
MANHATTAN BEACH,3
MANHATTAN TERRACE,3
MANHATTAN VALLEY,1
MANHATTANVILLE,1
MANOR HEIGHTS,5
MARBLE HILL,1
MARINE PARK,3
MARINERS HARBOR,5
MASPETH,4
MELROSE,2
MIDDLE VILLAGE,4
MIDLAND BEACH,5
MIDTOWN,1
MIDTOWN SOUTH,1
MIDWOOD,3
MILL BASIN,3
MILL ISLAND,3
MORNINGSIDE HEIGHTS,1
MORRIS HEIGHTS,2
MORRIS PARK,2
MORRISANIA,2
MOTT HAVEN,2
MOUNT EDEN,2
MOUNT HOPE,2
MURRAY HILL,1
NAVY YARD,3
NEPONSIT,4
NEW BRIGHTON,5
NEW DORP,5
NEW DORP BEACH,5
NEW LOTS,3
NEW SPRINGVILLE,5
NEW YORK,1
NEW YORK CITY,1
NOHO,1
NORTH CORONA,4
NORTH RIVERDALE,2
NORTH SIDE,3
NORWOOD,2
NYC,1
OAKLAND GARDENS,4
OAKWOOD,5
OCEAN HILL,3
OCEAN PARKWAY,3
OLD TOWN,5
OLINVILLE,2
OZONE PARK,4
PAERDEGAT BASIN,3
PARK HILL,5
PARK SLOPE,3
PARKCHESTER,2
PELHAM BAY,2
PELHAM GARDENS,2
PELHAM PARKWAY,2
PLEASANT PLAINS,5
POMONOK,4
PORT IVORY,5
PORT MORRIS,2
PORT RICHMOND,5
PRINCES BAY,5
PROSPECT HEIGHTS,3
PROSPECT LEFFERTS GARDENS,3
PROSPECT PARK SOUTH,3
QUEENS,4
QUEENS VILLAGE,4
QUEENSBORO HILL,4
RANDALL MANOR,5
RAVENSWOOD,4
RED HOOK,3
REGO PARK,4
REMSEN VILLAGE,3
RICHMOND HILL,4
RICHMOND TOWN,5
RICHMOND VALLEY,5
RIDGEWOOD,4
RIVERDALE,2
ROCHDALE,4
ROCKAWAY PARK,4
ROOSEVELT ISLAND,1
ROSEBANK,5
ROSEDALE,4
ROSSVILLE,5
ROXBURY,4
RUGBY,3
SANDY GROUND,5
