feature_name,b7sc
NORTH END WAY,10001601
FDR FOUR FREEDOMS PARK,10004201
28 PRECINCT,10007101
33 PRECINCT,10007301
HUGH CAREY TNNL VENTILATOR BLDG,10007401
WTC TRANSPORTATION HUB,10011801
CHRYSLER BUILDING,10028701
PERSHING SQUARE,10032101
HARDENBROOK - SOMARINDYCK HOUSE,10043001
HARDENBROOK SOMARINDYCK HOUSE,10043001
FISK - HARKNESS HOUSE,10045501
FISK HARKNESS HOUSE,10045501
CENTRAL PARK ZOO,10097601
CENTRAL PARK ADMINISTRATION BLDG,10097602
CENTRAL PARK ARSENAL BUILDING,10097602
CENTRAL PARK ZOO MAIN BUILDING,10097602
THE ARSENAL,10097602
CENTRAL PARK ZOO CAFE,10097603
CENTRAL PARK ZOO CENTRAL GARDEN,10097604
CENTRAL PARK ZOO GALLERY,10097605
CTRL PARK ZOO INTELLIGENCE GDN,10097606
CENTRAL PARK PENGUINS EXHIBIT,10097607
CENTRAL PK ZOO PENGUINS & PUFFIN,10097607
CTRL PARK ZOO PENGUINS & PUFFIN,10097607
CENTRAL PARK ZOO POLAR CIRCLE,10097608
CENTRAL PARK ZOO SCHOOL,10097609
CTRL PARK ZOO SEA LIONS EXHIBIT,10097610
CTRL PRK ZOO TEMPERATE TERRITORY,10097611
CENTRAL PARK ZOO TROPIC ZONE,10097612
CENTRAL PARK ZOO TICKET BUILDING,10097613
CHILDREN'S ZOO ACORN THEATER,10097614
CHILDREN'S ZOO CIRCULAR BENCH,10097615
CHILDREN'S ZOO COW EXHIBIT,10097616
CENTRAL PARK TURTLE POND,10097617
CHILDRENS ZOO DUCK & TURTLE POND,10097617
CHILDREN'S ZOO ENCHANTED FOREST,10097618
CHILDREN'S ZOO GOATS EXHIBIT,10097619
CHILDREN'S ZOO LILY PAD WALK,10097620
CHILDREN'S ZOO PIGS EXHIBIT,10097621
CHILDREN'S ZOO RABBIT EXHIBIT,10097622
CHILDREN'S ZOO SHEEP EXHIBIT,10097623
CHILDREN'S ZOO SPIDER WEB,10097624
CHILDREN'S ZOO TICKET BOOTH,10097625
