name,boronum,X,Y,SEGMENT,AnnoAngle,AnnoLine1,AnnoLine2,AnnoLine3,Borough,OBJECTID,Stacked
ACCORD,,,,,,,,,,,
ADAMS,,,,,,,,,,,
ADAMS CENTER,,,,,,,,,,,
ADDISON,,,,,,,,,,,
AFTON,,,,,,,,,,,
AIRMONT,,,,,,,,,,,
AKRON,,,,,,,,,,,
ALBANY,,,,,,,,,,,
ALBERTSON,,,,,,,,,,,
ALBION,,,,,,,,,,,
ALDEN,,,,,,,,,,,
ALEXANDER,,,,,,,,,,,
ALEXANDRIA BAY,,,,,,,,,,,
ALFRED,,,,,,,,,,,
ALLEGANY,,,,,,,,,,,
ALMOND,,,,,,,,,,,
ALTAMONT,,,,,,,,,,,
ALTMAR,,,,,,,,,,,
ALTONA,,,,,,,,,,,
AMAGANSETT,,,,,,,,,,,
AMENIA,,,,,,,,,,,
AMES,,,,,,,,,,,
AMITYVILLE,,,,,,,,,,,
AMSTERDAM,,,,,,,,,,,
ANDES,,,,,,,,,,,
ANDOVER,,,,,,,,,,,
ANGELICA,,,,,,,,,,,
ANGOLA,,,,,,,,,,,
ANGOLA ON THE LAKE,,,,,,,,,,,
ANNADALE,5,934621.69669,135376.6312,1,0,Annadale,,,STATEN ISLAND,218,1
ANTWERP,,,,,,,,,,,
APALACHIN,,,,,,,,,,,
AQUEBOGUE,,,,,,,,,,,
ARCADE,,,,,,,,,,,
ARDEN HEIGHTS,5,932590.6873,139450.96196,1,0,Arden,Heights,,STATEN ISLAND,244,2
ARDSLEY,,,,,,,,,,,
ARGYLE,,,,,,,,,,,
ARKPORT,,,,,,,,,,,
ARLINGTON,5,938425.3856,170785.62731,1,0,Arlington,,,STATEN ISLAND,230,1
ARMONK,,,,,,,,,,,
ARROCHAR,5,965608.95853,156536.29787,1,0,Arrochar,,,STATEN ISLAND,231,1
ARVERNE,4,1042022.389,153986.03591,1,0,Arverne,,,QUEENS,180,1
ASHAROKEN,,,,,,,,,,,
ASTORIA,4,1007613.5628,219276.42075,1,0,Astoria,,,QUEENS,132,1
ASTORIA HEIGHTS,4,1013422.418,219941.71568,1,0,Astoria,Heights,,QUEENS,269,2
ATHENS,,,,,,,,,,,
ATLANTIC BEACH,,,,,,,,,,,
ATTICA,,,,,,,,,,,
AU SABLE FORKS,,,,,,,,,,,
AUBURN,,,,,,,,,,,
AUBURNDALE,4,1041936.7658,216863.90983,1,0,Auburndale,,,QUEENS,155,1
AURORA,,,,,,,,,,,
AVERILL PARK,,,,,,,,,,,
AVOCA,,,,,,,,,,,
AVON,,,,,,,,,,,
BABYLON,,,,,,,,,,,
BAINBRIDGE,,,,,,,,,,,
BAITING HOLLOW,,,,,,,,,,,
BALDWIN,,,,,,,,,,,
BALDWIN HARBOR,,,,,,,,,,,
BALDWINSVILLE,,,,,,,,,,,
BALLSTON SPA,,,,,,,,,,,
BALMVILLE,,,,,,,,,,,
BARDONIA,,,,,,,,,,,
BARKER,,,,,,,,,,,
BARNEVELD,,,,,,,,,,,
BARNUM ISLAND,,,,,,,,,,,
BATAVIA,,,,,,,,,,,
BATH,,,,,,,,,,,
BATH BEACH,3,984596.50848,157697.23387,1,0,Bath,Beach,,BROOKLYN,80,2
BATTERY PARK CITY,1,979573.30232,198652.96921,1,0,Battery,Park,City,MANHATTAN,130,3
BAXTER ESTATES,,,,,,,,,,,
BAY PARK,,,,,,,,,,,
BAY RIDGE,3,975750.01928,167274.06708,1,0,Bay Ridge,,,BROOKLYN,47,1
BAY SHORE,,,,,,,,,,,
BAY TERRACE,4,1046061.4922,224566.35571,1,0,Bay,Terrace,,QUEENS,178,2
BAY TERRACE,5,945577.37819,141139.98877,1,0,Bay,Terrace,,STATEN ISLAND,238,2
BAYCHESTER,2,1029666.1956,255140.01274,1,0,Baychester,,,BRONX,11,1
BAYPORT,,,,,,,,,,,
BAYSIDE,4,1046777.5242,218446.5753,1,0,Bayside,,,QUEENS,154,1
BAYVILLE,,,,,,,,,,,
BAYWOOD,,,,,,,,,,,
BEACON,,,,,,,,,,,
BEAVERDAM LAKE-SALISBURY MILLS,,,,,,,,,,,
BEDFORD,,,,,,,,,,,
BEDFORD PARK,2,1015914.229,256330.3158,1,0,Bedford Park,,BRONX,14,2
BEDFORD STUYVESANT,3,1000395.0251,189658.80249,1,0,Bedford Stuyvesant,,,BROOKLYN,64,1
BEECHHURST,4,1038420.429,228169.07029,1,0,Beechhurst,,,QUEENS,177,1
BELLAIRE,4,1056614.2854,206441.21282,1,0,Bellaire,,,QUEENS,197,1
BELLE HARBOR,4,1024803.3218,149219.24328,1,0,Belle Harbor,,,QUEENS,193,1
BELLE TERRE,,,,,,,,,,,
BELLEROSE,4,1061819.7067,204839.33545,1,0,Bellerose,,,QUEENS,159,1
BELLEROSE TERRACE,,,,,,,,,,,
BELLMORE,,,,,,,,,,,
BELLPORT,,,,,,,,,,,
BELMONT,2,1015107.1555,251626.36097,1,0,Belmont,,,BRONX,35,1
BEMUS POINT,,,,,,,,,,,
BENSONHURST,3,985588.28209,161883.44433,1,0,Bensonhurst,,,BROOKLYN,48,1
BERGEN,,,,,,,,,,,
BERGEN BEACH,3,1012414.1766,163408.26182,1,0,Bergen,Beach,,BROOKLYN,92,2
BETHPAGE,,,,,,,,,,,
BIG FLATS,,,,,,,,,,,
BIG FLATS AIRPORT,,,,,,,,,,,
BILLINGTON HEIGHTS,,,,,,,,,,,
BINGHAMTON,,,,,,,,,,,
BLACK RIVER,,,,,,,,,,,
BLASDELL,,,,,,,,,,,
BLAUVELT,,,,,,,,,,,
BLISSVILLE,4,1002971.9717,207884.13579,1,0,Blissville,,,QUEENS,281,1
BLOOMFIELD,5,932254.0528,160033.47952,1,0,Bloomfield,,,STATEN ISLAND,248,1
BLOOMINGBURG,,,,,,,,,,,
BLUE POINT,,,,,,,,,,,
BOERUM HILL,3,988804.58602,189657.4252,1,0,Boerum,Hill,,BROOKLYN,88,2
BOHEMIA,,,,,,,,,,,
BOLIVAR,,,,,,,,,,,
BOONVILLE,,,,,,,,,,,
BOROUGH PARK,3,986887.30114,169943.03812,1,0,Borough,Park,,BROOKLYN,81,2
BRASHER FALLS-WINTHROP,,,,,,,,,,,
BREEZY POINT,4,1004948.2778,142361.60968,1,0,Breezy,Point,,QUEENS,175,2
BRENTWOOD,,,,,,,,,,,
BREWERTON,,,,,,,,,,,
BREWSTER,,,,,,,,,,,
BREWSTER HILL,,,,,,,,,,,
BRIARCLIFF MANOR,,,,,,,,,,,
BRIARWOOD,4,1036440.0058,198345.53938,1,0,Briarwood,,,QUEENS,162,1
BRIDGEHAMPTON,,,,,,,,,,,
BRIDGEPORT,,,,,,,,,,,
BRIDGEWATER,,,,,,,,,,,
BRIGHTON,,,,,,,,,,,
BRIGHTON BEACH,3,993946.51111,149431.29928,1,0,Brighton,Beach,,BROOKLYN,52,2
BRIGHTWATERS,,,,,,,,,,,
BRINCKERHOFF,,,,,,,,,,,
BROAD CHANNEL,4,1034217.8699,159026.5652,1,0,Broad,Channel,,QUEENS,174,2
